MAX_ATR_I_12M,NMES_ATR15_I_U6K_24M,RTOT_DACT_DTOT_24M,VAR_PROM_ENT_ACTU_24M,NMES_UATR3_I_24M,VAR_PROM_DEUDIR_ACTU_12M,INC_SUM_ACTSH_ACTU_24M,MAX_ENT_12M,N_NOR_24M,NMES_UATR15_I_U6K_24M,FLG_CLI_DEF60
0,0,1.0,0.0,0,0.274322183,18.24265741,3,13,0,0
1,0,1.0,0.0,13,-0.234109731,17.93921593,1,24,0,0
0,0,1.0,0.0,0,0.960349451,54.26233553,1,21,0,0
1,0,1.0,0.0,0,0.102404311,10.02404311,1,10,0,0
3,0,0.977501657,-0.3125,2,0.12896103,17.46453109,4,24,0,0
0,0,1.0,0.0,0,0.640828845,20.18584506,1,20,0,0
7,0,0.970840535,-0.441666667,1,-0.166734022,18.96404434,5,24,0,0
0,0,0.487698146,0.0,13,0.819341306,35.42254094,1,24,0,0
0,0,0.737251257,0.0,0,0.008562654,15.13413582,1,22,0,0
2,0,0.88695506,0.083333333,15,-0.032688899,20.54810571,2,23,0,0
14,0,1.0,0.0,0,0.03455032,13.47180418,1,14,0,0
4,0,0.964403052,-0.152777778,3,-0.123484931,25.52157217,3,24,0,0
1,0,0.996591003,0.0,22,-0.544528318,10.56103703,1,24,0,0
6,0,1.0,0.0,0,-0.131889194,19.58722958,1,24,0,0
0,0,0.940595464,0.020833333,0,0.229143156,30.09095684,3,24,0,0
0,0,1.0,0.0,0,-0.282174542,9.257373744,1,14,0,0
2,0,0.755728209,0.291666667,0,3.125432197,83.83735554,1,24,0,0
3,0,1.0,0.0,6,0.146636176,14.09579897,1,21,0,0
2,0,0.831863538,0.041666667,0,0.182861574,22.97799232,3,24,0,0
28,2,0.588867228,-0.229166667,1,-0.215531572,15.19678484,2,21,2,0
35,2,0.718924861,0.0,1,1.252060974,58.07528882,1,20,4,0
1,0,0.736907201,-0.477272727,0,-0.217254857,9.64476045,2,21,0,0
0,0,0.659940446,0.0,18,1.029931887,63.82946231,2,24,0,0
3,0,0.442442693,0.0,7,1.085537279,60.78209799,1,23,0,0
25,1,0.847905156,-0.0625,0,0.182281703,23.17882366,5,20,5,0
9,0,1.0,-0.194444444,3,-0.138962049,24.29849964,3,23,0,0
4,0,0.983339495,0.0,0,0.132069258,27.74422472,2,24,0,0
2,0,0.871227679,-0.145833333,12,-0.024493025,27.09302305,2,24,0,0
8,0,0.998517764,0.0,0,0.415942326,44.54353507,4,5,0,0
4,0,1.0,0.0,5,0.070780772,21.3365142,1,24,0,0
5,0,0.480633689,-0.125,0,-0.126313923,14.65794184,2,24,0,0
2,0,1.0,0.0,14,0.960731049,36.06022778,1,24,0,0
12,0,0.918884181,0.708333333,6,6.135515226,180.4669405,3,21,0,0
10,0,1.0,0.0,0,1.079075222,57.44970027,1,23,0,0
3,0,0.767440092,0.0,1,-0.328905097,9.300875715,1,20,0,0
5,0,0.961280833,-0.138888889,2,-0.306772209,17.61145267,3,24,0,0
14,0,1.0,0.0,1,0.06505218,25.39669033,1,20,0,0
0,0,0.775672118,0.0,0,0.016665833,27.69946503,1,24,0,0
1,0,0.857118517,0.020833333,0,0.190771297,38.89542166,3,24,0,0
